Date,Health_District,Age_Group,Cases,Hospitalized,Deaths,State
2020-07-11,Mount Rogers,20-29,128,0,0,Virginia
2020-07-11,Eastern Shore,20-29,199,6,0,Virginia
2020-07-11,Hampton,10-19,27,0,0,Virginia
2020-07-11,Portsmouth,0-9,27,3,0,Virginia
2020-07-11,Crater,70-79,153,37,18,Virginia
2020-07-11,Chesterfield,40-49,601,20,3,Virginia
2020-07-11,Alexandria,Missing,11,0,0,Virginia
2020-07-11,Southside,30-39,67,4,0,Virginia
2020-07-11,Prince William,Missing,147,2,0,Virginia
2020-07-11,Hampton,60-69,55,11,2,Virginia
2020-07-11,Fairfax,20-29,2288,78,3,Virginia
2020-07-11,Thomas Jefferson,0-9,54,1,0,Virginia
2020-07-11,Lenowisco,40-49,9,2,0,Virginia
2020-07-11,Central Virginia,10-19,65,1,0,Virginia
2020-07-11,Lenowisco,70-79,8,4,1,Virginia
2020-07-11,Arlington,50-59,391,68,6,Virginia
2020-07-11,Piedmont,70-79,73,24,4,Virginia
2020-07-11,Alexandria,60-69,208,47,2,Virginia
2020-07-11,Portsmouth,30-39,149,7,1,Virginia
2020-07-11,Lenowisco,20-29,12,0,0,Virginia
2020-07-11,Central Virginia,30-39,75,1,0,Virginia
2020-07-11,Norfolk,10-19,79,1,0,Virginia
2020-07-11,New River,10-19,37,0,0,Virginia
2020-07-11,Central Virginia,20-29,110,2,0,Virginia
2020-07-11,Rappahannock,50-59,409,51,4,Virginia
2020-07-11,Rappahannock,60-69,223,46,6,Virginia
2020-07-11,Piedmont,20-29,177,2,0,Virginia
2020-07-11,New River,60-69,28,5,0,Virginia
2020-07-11,Roanoke,40-49,83,1,0,Virginia
2020-07-11,Three Rivers,20-29,137,4,0,Virginia
2020-07-11,Rappahannock,40-49,476,43,2,Virginia
2020-07-11,Portsmouth,80+,17,8,5,Virginia
2020-07-11,Central Shenandoah,Missing,1,0,0,Virginia
2020-07-11,Eastern Shore,70-79,47,16,9,Virginia
2020-07-11,Mount Rogers,70-79,71,28,12,Virginia
2020-07-11,Cumberland Plateau,70-79,7,1,0,Virginia
2020-07-11,Piedmont,10-19,35,0,0,Virginia
2020-07-11,Southside,20-29,50,2,0,Virginia
2020-07-11,Chesterfield,50-59,473,38,4,Virginia
2020-07-11,Rappahannock Rapidan,20-29,295,4,0,Virginia
2020-07-11,Cumberland Plateau,60-69,8,1,0,Virginia
